MATEMATIK|Eşitsizlikler|9148562d-f152-52c6-a131-a63d7a2faf0c
MATEMATIK|Fonksiyonlar|bc97a7b8-3c6f-5e97-b18d-a25c6ed097f1
MATEMATIK|Fonksiyonlar|e7db5e2b-2f30-5c0f-8e80-2ca28bec9440
MATEMATIK|Geo Temel|a6e8a0b8-9a45-5b12-a491-804a0c30da00
MATEMATIK|Geometri|8fc72362-c268-53d6-9519-7a11a182b24d
MATEMATIK|Integral|1838a15e-bea9-58ff-b8d3-560f2902c21a
MATEMATIK|Istatistik|575b2eea-755c-5f00-b872-abb5d95cc121
MATEMATIK|Kombinasyon|2826d017-bc65-5f68-a2c7-fc4f7c357df9
MATEMATIK|Limit|a59a54b7-2bb1-54f1-bdba-d14af9170966
MATEMATIK|Limit ve Süreklilik|9dc9b1b4-5b3c-5120-ae60-e876e95ac5a3
MATEMATIK|Logaritma|1a3dc570-605c-5fe3-8936-f465d35ef46c
MATEMATIK|Logaritma|e959c15f-49e2-529f-9387-10d7bb44c05b
MATEMATIK|Mutlak Değer|479d432a-816d-5594-bda0-8740bc07e7f3
MATEMATIK|Olasilik AYT|3838c053-5a8e-5183-8c81-e9995fc01ed0
MATEMATIK|Olasılık|f33a730e-5c6e-545f-8f48-40edff0b0adc
MATEMATIK|Oran-Orant?|b311c03c-9a43-54e3-a9ca-bb9e1ab23fdd
MATEMATIK|Permutasyon|7a7ac166-dcbb-53be-8118-6ffcb3639841
MATEMATIK|Permütasyon|78bbb708-2059-5d30-b691-0979b622ba66
MATEMATIK|Polinomlar|1d5a8761-d434-5e28-bcb8-43f7f597e2ed
MATEMATIK|Polinomlar|5e8456d9-ca2a-5d9b-b1e9-f16156e13ebc
MATEMATIK|Problemler|0a0cc0c2-6a5c-553b-aa56-068de8fab0e0
MATEMATIK|Sayilar|bcbe6208-003a-5133-bcf4-9aedc3214d7e
MATEMATIK|Sayılar ve İşlemler|62d3e0e0-bdb3-5711-ae9f-2ed8e635535a
MATEMATIK|Trigonometri|0f0ca86a-3f1f-520d-a6a3-30a33309f2e3
MATEMATIK|Trigonometri|98f05b4e-9b4b-52ac-9f8b-565b42d793c3
MATEMATIK|Turev|07f54b84-2116-5970-a53d-90434a205676
MATEMATIK|Türev|367119dc-abc4-515b-a866-f98ad01ac13e
MATEMATIK|Ucgenler|1c0fea32-d7ea-53fc-9b30-853f15f736b2
MATEMATIK|Uslu Ifadeler|5ef207ce-edd7-5a08-b45f-3bf43f7f6361
MATEMATIK|Çarpanlara Ayırma|7e5d0b6b-872d-5059-a672-31e9af96fc2f
MATEMATIK|Üslü ve Köklü Sayılar|3726ee2d-e2b6-5249-8616-5285334db05d
MATEMATIK|İntegral|7157141c-eebc-5534-ae4c-95aec3cde64d
MATEMATIK|İstatistik|e48521cb-13f9-54b7-8377-bf73500a5911
SOSYAL|Dünya Coğrafyasına Giriş|fd201831-cc29-4748-a3f9-0ef94c8f4ae7
SOSYAL|Ekonomi ve Kalkınma|e7465573-5d4b-4821-be72-cdfa270510ef
SOSYAL|Türk Tarihi Temel|9fda315e-2da6-4a86-8427-80e7f1ff8a78
SOSYAL|Vatandaşlık ve Demokrasi|05c15a90-24b4-47cd-b266-4029c5ee9047
SOSYAL|Çağdaş Dünya Sorunları|3d43a78a-c006-44c3-b050-34016e8152b1
TARIH|Kurtuluş Savaşı ve Cumhuriyet|49c55033-7bd1-4c35-9a7f-33cd9b9dcbdf
TARIH|Osmanli|5f3a7f45-0b66-599f-ad41-e5af26d4da75
TARIH|Osmanlı Devleti Kuruluş|cf046ca0-68d2-4a49-b7e6-1818ce044fe3
TARIH|Osmanlı Yükselme ve Duraklama|d1ca399d-15e4-4299-856a-49ca00a6b030
TARIH|Yakın Çağ ve Çağdaş Tarih|3c45275c-3e89-4029-9b07-fa47ce94e225
TARIH|Yeni Turk|4185786a-9e3a-5729-8435-1b6c5130dca2
TARIH|İlk ve Orta Çağ Türk Tarihi|f1e1f9a8-d4d8-4de6-afe8-0de5d0f62c60
TDE|Batı Edebiyatı: Edebi Akımlar|TDE.11.5.1
TDE|Edebiyatın Tarihsel Dönemleri|TDE.9.4.1
TDE|Giriş: Sanat ve Edebiyat|TDE.9.1.1
TDE|Hikaye: Modernizm/Postmodernizm|TDE.12.2.3
TDE|Kişisel Yaşamı Konu Alan Metinler|TDE.11.2.1
TDE|Roman: Tanzimat Dönemi|TDE.11.3.2
TDE|Roman: Toplumcu Gerçekçilik|TDE.12.3.2
TDE|Söz Sanatları (Belagat)|TDE.9.4.2
TDE|Sözlü Anlatım Türleri (Panel, Forum vb.)|TDE.9.4.3
TDE|Şiir: Divan Edebiyatı (Gazel)|TDE.10.2.1
TDE|Şiir: Halk Edebiyatı|TDE.10.3.1
TDE|Şiir: Servet-i Fünun Dönemi|TDE.11.4.1
TURKCE|Anlam Bilgisi|c1350eca-9173-43e7-a6ec-175e42081510
TURKCE|Anlama|507c41d7-b8d9-5814-9faa-fbe0cb202e6c
TURKCE|Dil Bilgisi|2d8cbbf9-142f-4e26-bf13-9dadaaf65f06
TURKCE|Dil Bilgisi|cf869f6f-ffd1-5d72-8411-8112408166b0
TURKCE|Paragraf|09857a7f-b1a8-4183-9dc2-ae5667f21ea0
TURKCE|Paragraf|f0e9c5dd-4e65-5a65-9741-a3b89aa29e8e
TURKCE|Soz Varigi|184e5a85-da8c-486c-8958-fd203f756dc6
TURKCE|Yazim Kurallari|96497c19-ee1c-4441-bdd4-e653ac8caec3
|Biyoloji|b6520972-0e84-556e-bdc3-df750f9eb54b
|Coğrafya|2b79b4bf-a603-558a-bbed-47bc82f4a279
|Fen Bilimleri|58a51ee7-c311-5bad-93e4-229223db5d51
|Fizik|93140aa9-15ad-54fe-9d09-afc2c9626c93
|Genel|0c6a66f8-b007-5b88-9d0b-cc49fba3d7b8
|Geometri|54a3d6b6-55e6-5de9-b8b0-7987e966d43c
|Kimya|dcd3211c-58e3-5cf9-bc37-9a33daa1a0c4
|Matematik|c3261158-b5b3-5b21-aba0-926d0391c800
|Sosyal Bilimler|41c2e195-9e45-5c81-ae8c-3efeca84c89b
|Tarih|90430cf2-cc81-5c59-9a7b-da95cbde221e
|Test Konu Batch1B|00000000-0000-0000-0000-000000000001
|Türk Dili ve Edebiyatı|989e6320-d2f5-523f-a0e9-d317a6629cbe
|Türkçe|8091fa45-b7df-5526-9d5a-2e440336570a
|İngilizce|f521bf6d-b97e-5879-ab2c-6ce7eb4299f6
