Package                                  Version      Latest    Type
setuptools                               70.2.0       82.0.1    wheel
soupsieve                                2.8.1        2.8.3     wheel
SQLAlchemy                               2.0.45       2.0.49    wheel
sse-starlette                            3.1.2        3.4.4     wheel
starlette                                0.50.0       1.0.0     wheel
stevedore                                5.7.0        5.8.0     wheel
sympy                                    1.13.1       1.14.0    wheel
tenacity                                 9.1.2        9.1.4     wheel
thrift                                   0.22.0       0.23.0    sdist
tokenizers                               0.22.2       0.23.1    wheel
tomli                                    2.4.0        2.4.1     wheel
torch                                    2.6.0+cu124  2.12.0    wheel
torchvision                              0.21.0+cu124 0.27.0    wheel
tqdm                                     4.67.1       4.67.3    wheel
transformers                             4.57.3       5.9.0     wheel
typer                                    0.21.1       0.25.1    wheel
tzdata                                   2025.3       2026.2    wheel
ultralytics                              8.4.12       8.4.52    wheel
ultralytics-thop                         2.0.18       2.0.19    wheel
urllib3                                  2.6.2        2.7.0     wheel
uuid_utils                               0.12.0       0.16.0    wheel
uv                                       0.9.21       0.11.15   wheel
uvicorn                                  0.40.0       0.47.0    wheel
watchfiles                               1.1.1        1.2.0     wheel
wcwidth                                  0.2.14       0.7.0     wheel
websockets                               15.0.1       16.0      wheel
Werkzeug                                 3.1.5        3.1.8     wheel
wheel                                    0.46.3       0.47.0    wheel
wrapt                                    1.17.3       2.2.0     wheel
xxhash                                   3.6.0        3.7.0     wheel
yarl                                     1.22.0       1.24.2    wheel
zipp                                     3.23.0       4.1.0     wheel

[notice] A new release of pip is available: 26.0 -> 26.1.1
[notice] To update, run: python.exe -m pip install --upgrade pip
