id	book	page	q_no	substr_pct	band	action	image_url	ocr_text_len
8dc1a05d-75bf-5e19-ac0d-529c0ce84ddf	345 Tyt Ayt Geometri Soru Bankası	304	18	0.917	high	dry	/static/crops/345_Tyt_Ayt_Geometri_Soru_Bankası/345_Tyt_Ayt_Geometri_Soru_Bankası_p0304_q05.png	135
71c2a118-640b-508d-aee5-0e5d2c7e1b6c	Orijinal-Tyt Ayt Geometri Soru Bankası	244	11	0.950	high	dry	/static/crops/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0244_q04.png	162
8e60f55d-e259-5eb1-a2c6-70d2efb5ad0d	2023-2024-ACİL-TYT-AYT-Geometrinin İlacı	12	11	0.800	high	dry	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0012_q04.png	86
7af3dd04-256d-5a1e-9732-142749113d2c	Orijinal-2024-Geometri Soru Bankası	210	7	0.818	high	dry	/static/crops/Orijinal-2024-Geometri_Soru_Bankası/Orijinal-2024-Geometri_Soru_Bankası_p0210_q01.png	114
9d9d2b22-6e74-56d4-bd68-d0baa826f071	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	97	10	0.917	high	dry	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0097_q03.png	119
66828ccd-0221-5446-a2fb-5fa268657090	Acil-2024-AYT Matematik Kitap-1	146	5	0.571	mid	dry	/static/crops/Acil-2024-AYT_Matematik_Kitap-1/Acil-2024-AYT_Matematik_Kitap-1_p0146_q02.png	132
ff9e6712-6f78-5dde-babf-510f8b9edf83	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	140	11	0.917	high	dry	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0140_q03.png	100
fe3a423a-3fa7-5e7c-a18e-83081b604321	2023-2024-ACİL-TYT-AYT-Geometrinin İlacı	46	10	0.800	high	dry	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0046_q02.png	102
c3e37556-b31f-5e14-bf1b-aa3e65cc34cc	Aktif Ogrenme 2025 Tyt Fizik Soru Bankası	280	38	0.364	low	skip		302
60ddcedb-90bd-5d91-881e-8d171938b66b	2023-2024-ACİL-TYT-AYT-Geometrinin İlacı	14	10	0.625	mid	dry	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0014_q02.png	86
cceace22-f452-5d81-9713-4cdd8e024be5	Aktif Ogrenme 0 Baslayanlara Kimya 2019 2020	92	46	0.000	low	skip		171
5ae4cf29-8340-5fe7-bf32-d46855de3aeb	Orijinal-Tyt Ayt Geometri Soru Bankası	305	7	0.933	high	dry	/static/crops/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0305_q01.png	135
b61d9f39-18d6-5d7c-a185-ef15a5798752	CAP-2023-AYT-Matematik -AL-Soru Bankası	74	11	1.000	high	dry	/static/crops/CAP-2023-AYT-Matematik_-AL-Soru_Bankası/CAP-2023-AYT-Matematik_-AL-Soru_Bankası_p0074_q03.png	145
7fff00d0-2493-5b9a-9c85-9a3aed901f16	345 2025 Tyt Ayt Geometri Soru Bankası 1	261	8	0.667	mid	dry	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0261_q01.png	144
4f741970-d133-516d-af5c-43d3ceabd0bc	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	299	13	1.000	high	dry	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0299_q02.png	120
aa62ea1c-8c18-541e-b249-68b87e847cd0	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	54	10	1.000	high	dry	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0054_q01.png	96
67f6b45c-fd49-58b4-ae27-fc6748c711cc	345 2025 Tyt Ayt Geometri Soru Bankası 1	62	12	0.875	high	dry	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0062_q02.png	133
d6a26845-d026-5122-9d28-ea0bc8336129	Bilgi Sarmalı-2023-2024-Tyt-Matematik Soru Bankası	20	12	0.733	high	dry	/static/crops/Bilgi_Sarmalı-2023-2024-Tyt-Matematik_Soru_Bankası/Bilgi_Sarmalı-2023-2024-Tyt-Matematik_Soru_Bankası_p0020_q05.png	325
8db3b767-35e5-595f-b2c6-42f59a0520a5	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	105	10	0.692	mid	dry	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0105_q02.png	120
f0420ec9-f51c-5abe-9097-8d3331086962	Orijinal-2024-Ayt-Trigonometri	142	8	0.667	mid	dry	/static/crops/Orijinal-2024-Ayt-Trigonometri/Orijinal-2024-Ayt-Trigonometri_p0142_q05.png	130
5dfa8342-3b1b-598b-91de-d16e805d553d	Aktif Ogrenme 2025 Tyt Fizik Soru Bankası	240	8	0.345	low	skip		302
b311e228-546f-5704-8b52-ace3442045d7	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	150	7	1.000	high	dry	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0150_q01.png	114
c116634b-8639-5387-92ce-8b48a2abcb2a	Bilgi Sarmalı-2022-2023-Tyt Ayt-Geometri Soru Bankası	90	8	0.769	high	dry	/static/crops/Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası_p0090_q03.png	129
68b6b26d-ffae-5ee3-abaf-b7d8c718acbb	345 Tyt Ayt Geometri Soru Bankası	165	10	0.500	mid	dry	/static/crops/345_Tyt_Ayt_Geometri_Soru_Bankası/345_Tyt_Ayt_Geometri_Soru_Bankası_p0165_q03.png	133
95c18ba7-3222-5953-851f-df496b7e2598	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	61	7	1.000	high	dry	/static/crops/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0061_q03.png	157
8b6355d9-72f5-50a2-a487-a0d10d72b204	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	232	11	0.667	mid	dry	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0232_q04.png	104
53abd1ef-2a67-5432-bfb7-9237b4a684c4	Aktif Ogrenme 0 Baslayanlara Kimya 2019 2020	179	14	0.375	low	skip		366
f137fd00-3588-51f1-94c1-6fe527febee9	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	27	7	0.385	low	skip		121
bbc55f97-ce7c-5ccf-898a-822db9211705	Orijinal-2024-Geometri Soru Bankası	200	12	0	error	error		0
19ee3511-f7ff-5c38-928f-7aaebe1c8a70	Mikro Orijinal-2024-Tyt-Matematik Soru Bankası	141	2	0.111	low	skip		213
78c5aa4f-fdf2-50ee-a1ba-732dbe661775	2023-2024 ACİL- AYT Matematik Soru Bankası	146	8	0.889	high	dry	/static/crops/2023-2024_ACİL-_AYT_Matematik_Soru_Bankası/2023-2024_ACİL-_AYT_Matematik_Soru_Bankası_p0146_q03.png	159
f274be26-7346-51f0-a40a-9aef27be57b3	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	298	10	0.800	high	dry	/static/crops/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2_p0298_q02.png	66
443cf18e-31c4-5b1f-aa7c-b36cc3e4bb44	Full Matematik-2019-2020-Geometri Soru Bankası	13	7	0.636	mid	dry	/static/crops/Full_Matematik-2019-2020-Geometri_Soru_Bankası/Full_Matematik-2019-2020-Geometri_Soru_Bankası_p0013_q01.png	98
66e45255-a9cc-599b-a0d5-02453eb5cb32	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	217	12	0.944	high	dry	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0217_q06.png	155
8de9ada9-ff39-5c23-9f64-d7c8bc349393	345 2025 Tyt Matematik Soru Bankası	199	6	0.714	high	dry	/static/crops/345_2025_Tyt_Matematik_Soru_Bankası/345_2025_Tyt_Matematik_Soru_Bankası_p0199_q02.png	160
99fdfba1-9a64-5fb5-b56e-7b5314807439	345 Tyt Ayt Geometri Soru Bankası	103	6	1.000	high	dry	/static/crops/345_Tyt_Ayt_Geometri_Soru_Bankası/345_Tyt_Ayt_Geometri_Soru_Bankası_p0103_q02.png	126
db5661e9-a6ac-5a3f-a5ec-ac731a1d64b6	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	162	7	0.643	mid	dry	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0162_q01.png	111
0478e70f-1293-544a-a930-ca399a906e6c	Full Matematik-2022-2023-Tyt Ayt-Geometri Soru Bankası	285	6	0	error	error		0
18a14f33-38b7-512e-b7e3-f9195c72161c	2023-2024-ACİL-TYT-AYT-Geometrinin İlacı	146	10	1.000	high	dry	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0146_q02.png	89
cdf48f57-33a0-5328-9937-dc48b040ce82	Bilgi Sarmalı-2023-2024-Tyt Ayt-Geometri Soru Bankası	30	6	0.643	mid	dry	/static/crops/Bilgi_Sarmalı-2023-2024-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-2023-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0030_q03.png	119
de9dc621-ee93-59cc-805b-ca31297be070	Esen Aps Kimya Soru Bankası	94	9	0	error	error		0
