id	prev_status
00476019-29b0-5ba9-b3b1-7d18b8d363ad	unverified
00479734-e253-5cc4-9bbb-ad02ff5d8158	unverified
004a6bfa-5d69-5a2a-beda-35043bfb27f8	unverified
004ae9a5-c010-5ec5-895c-946b13c450fe	unverified
004b1d59-0168-5e9d-9700-4a011ee6fc33	unverified
004b3485-c7c6-595f-ab0e-bcb132b02365	unverified
004b8b56-679c-5251-890f-7ef54a8809a6	unverified
004bb2da-f2fb-54cb-8b6f-6ddd0768c7ae	unverified
004c5968-7039-5d0f-bb97-d84378d28205	unverified
004c6047-3f8c-55f1-8a49-5099eff2e43f	unverified
004c646e-4b8e-539c-931f-aa390cc6c717	unverified
004e1efe-16b5-5180-b190-e9addff3ffef	unverified
004e68fd-3c68-58c4-8f86-d1ed079a8c1b	unverified
004ee03c-cd76-5926-b636-c7939cc2318d	unverified
0050ed71-b755-551f-866a-1e90451346d0	unverified
0051a96f-096e-553a-8c21-df6ea3f8820e	unverified
0051d1d3-443f-5f57-a371-105cf45e940c	unverified
0053e740-d8fa-54c2-bf39-8ae69a864ff7	unverified
0054317f-ec72-53ab-9c8b-66f4821d0632	unverified
0057be21-55c5-597c-93ae-14cc1e14c511	unverified
00580f1e-387e-567e-9855-f9b4e42fea1c	unverified
005c49ab-03cf-519d-92fb-adce3780fe44	unverified
005c6237-7bb6-55ec-8dd3-698824d01a44	unverified
005c6635-00b0-515d-89e3-16fd7199bd08	unverified
005cefbb-6fda-58e2-ae92-ea8b7f57794e	unverified
005d8d2f-58cb-5c93-b641-ef6278947a21	unverified
005ec10b-c8f0-5a59-8311-b527183889da	unverified
005f6224-66ab-5b8c-b08c-23508a9b16b9	unverified
00612d82-dd2e-5ed7-9484-b93fd3de6da0	unverified
00626ede-926e-56e7-9a36-7410d9ca5189	unverified
00634406-1366-5a9e-92d7-8348e16004e7	unverified
0064c4f0-2488-54ac-b0ec-8bf6433b2bf3	unverified
00654b7b-cc76-5074-8ae8-133f10b1849d	unverified
0065b135-5817-59b8-9f15-2039cae0bfd0	unverified
0065b275-c3a5-563c-9fbe-ed7ad0deff30	unverified
0067ed66-538b-5bd9-bf70-bcbb428615fa	unverified
006912b3-e34d-5642-afb9-34b78006961c	unverified
006914a4-e21b-53fa-8488-88378208dd4e	unverified
00692b54-ae2f-52e4-8d4d-871fdf8b7e98	unverified
006b4ce5-c9bc-5f76-8884-0b7ef677f198	unverified
006bdfac-4f1c-554a-b011-ee81e5aeddd0	unverified
006ce84f-0625-5028-9b4b-982438918ee8	unverified
006e4fec-6909-55d3-b208-9c4b84a47450	unverified
006ea976-0f10-5088-a68a-2bf7822b9b76	unverified
006f2fd1-8ebf-59e5-b6c8-c7a001b7c46d	unverified
006f3105-994a-5b2d-b0dc-33259b5019c0	unverified
00705f8d-83b1-5e1a-8573-4a33dd3b6214	unverified
0070ff78-2fba-5be0-8d73-a9fdb941ac9f	unverified
00726a51-4c51-51cc-8a6c-027716fe2388	unverified
00737002-1cac-5465-bd25-3bce21503762	unverified
0075610e-9e4f-581b-a80a-ddc7e3406126	unverified
00759334-2ceb-5578-a0b4-572be495f69c	unverified
007892ba-6e4f-54c7-93ab-44472ec1a487	unverified
0078f6d6-67c8-51c6-859d-f228f6378f31	unverified
00796486-7727-5b01-ab70-7b094afa5006	unverified
007b224f-d80e-5863-9604-c4bb86988e13	unverified
007b7778-bccb-52bd-943f-5b62409903d3	unverified
007be82a-1ada-5639-98dd-c63cc04ad98a	unverified
007dce24-3262-575f-9e83-fadd9cf7d53f	unverified
007e1075-edbd-5576-8c47-a73cf67ae819	unverified
007efa7a-f26d-5196-bf03-3c2ab408769b	unverified
0080bafb-c97f-526b-b2c3-536040914c47	unverified
0081054d-fd51-56a0-a179-650ad61bea97	unverified
008111d6-11fd-5c92-8cc6-d60fba0e8801	unverified
0081a2d3-8ae6-5e31-8b0e-171a4bec606f	unverified
00821576-d16f-5123-990a-d0b085df5b4d	unverified
00822b88-27c2-5ff1-b9be-a924f1adcdc3	unverified
0082b832-688c-52b4-a6e6-2719b54c3e4d	unverified
00832c7e-e654-52fd-9c68-5ecd33a06683	unverified
00839ed1-efcc-50ce-9906-6bc93c75e0b2	unverified
0083bb83-00fa-5649-8b3e-206218632b6b	unverified
0084ca4f-aaa5-5d86-9ce6-2a16ac724456	unverified
0085797f-8447-5c35-8884-0feb9165ddfb	unverified
00865225-03fc-539d-a55a-cf170fe3433c	unverified
0087a629-2819-5b93-94ea-56634865b753	unverified
00899e99-c35d-589a-80a2-49dfee5e3260	unverified
008a18ff-f66d-53ac-82c2-527b0106752c	unverified
008bf3ff-4e80-5161-aa77-ec6845aae2ab	unverified
008cd008-05b1-53fc-8a46-fcb6b992d50e	unverified
008db07a-f7c3-5c49-80ed-a3357a914770	unverified
008df568-4c36-50d5-a2a5-7e10c0200145	unverified
00906a52-9fed-56bd-a88b-3c751417ca72	unverified
00910ad1-dedb-5213-8665-596d395520e4	unverified
00917f8b-edd6-5c7f-ab31-427305d32f99	unverified
0091e2ae-bcba-588f-8577-e517b676340e	unverified
0092f724-dba9-5bdb-9713-b1b9059beae8	unverified
00954c25-b6b8-5995-81f6-108cce419c1e	unverified
0095b28e-bd0c-536c-ab88-b17087c3e2fa	unverified
0095fe9e-6901-5b21-b04a-580998c63985	unverified
00960e4c-6c4f-5602-b2ff-27e783005ec4	unverified
009824ee-24a7-516d-8ca9-4b36f07586c4	unverified
