id	book	page	q_no	substr_pct	band	action	image_url	ocr_text_len
fd36dfb0-6127-5429-ab8f-dbcfa616b8df	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	174	10	1.000	high	apply	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0174_q01.png	92
ffcf9976-30c1-5b21-98f8-18a8106269aa	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	56	11	1.000	high	apply	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0056_q04.png	96
d51a223a-1e21-52c4-bee2-e0305623a19b	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	298	7	0.750	high	apply	/static/crops/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2_p0298_q01.png	102
6aa1de71-4c55-57ef-9108-70509bbcdc84	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	114	11	0.812	high	apply	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0114_q04.png	145
0275caf6-2718-5ab0-be3d-8cebc5687faa	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	329	1	0.200	low	skip		103
d835d9e9-4999-59ae-8e2c-a6e70dc375e6	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	367	1	0.360	low	skip		286
bdbd1686-1386-5f87-969e-9908040e159a	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	24	9	0	error	error		0
c9fc1311-f77b-52a7-b3da-4de8904ea447	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	108	7	1.000	high	apply	/static/crops/Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası/Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası_p0108_q03.png	102
d03f1b1a-22fa-5536-8f9e-b3fddc5ff273	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	26	9	0.625	mid	skip		92
87f77b03-a521-57c8-90e6-ade491ee423a	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	26	10	1.000	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0026_q03.png	145
0a024750-a0fd-51dd-af2e-68a196f5c976	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	44	9	0.727	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0044_q01.png	136
b995937d-1962-5aa2-b091-8e7e57a98b88	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	44	13	0.727	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0044_q02.png	100
36e474ba-c8ea-5575-86ce-68c3de41b908	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	46	9	0.700	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0046_q02.png	93
