id	prev_image_url	prev_image_ocr_text
820bc3f1-9679-5936-b165-ef7347286d0e		
f0ce8c3c-e225-5e92-9f56-62821c2203d8		
4472a963-137a-5a74-9260-8d0d88c47922		
94ce6dfa-ff73-5004-9470-04e67305b79e		
9cfd5c77-f1c4-5716-9c65-197e72125839		
4ab5697a-4d12-54ff-b17f-0e5500cb9229		
73e56d73-9db2-57f1-8f49-ca73205d0ac1		
c31fa3f0-9959-5fbb-90c3-4da09255a786		
5b1c46cd-2102-5178-a03e-b8afcd91d4d8		
faada050-d1c3-58d7-88ee-475dedc80983		
65896828-ec4f-5aca-9756-de66e6c7bc1e		
cc220070-2483-52a1-8a83-357725fb7a96		
6e1069f9-633b-5bd4-a0e3-c041cc77627d		
34f94fca-c742-5da9-8fcf-8d5506c3e41c		
e3f72aae-081a-5438-86ec-9c679468d271		
b6ec3d44-008c-5efd-b353-c77e4bb00bd6		
4609f93c-0b7b-52dd-9bd2-fd0efffc983a		
44dc5336-aa3f-5225-b4b9-264bcb1756ba		
d292c8f5-1d5e-500f-96b4-6238590bd0dd		
cc232d7e-ce11-5136-8efc-06b7f79f748e		
e9907ef9-0d23-5404-9b88-42f818b1b15f		
88a9e25a-060c-5f79-b76f-6e861124eae4		
c70b5703-c010-5b72-9237-0e3d12b3a96a		
d5f1fb6c-cfbf-5452-8fb3-95a1cf916e51		
adc7ed94-9e21-5780-b580-bc036d331bb3		
5c59f127-4ed2-57f9-ab8b-dc91e5b09815		
236a20e2-a46b-538f-b911-6c9e8a80c85c		
b2942b84-3193-53cd-972d-0ba6b5873c7f		
5daa15aa-2628-511a-98a0-161767e3c4b6		
ae1091b0-2a7b-5098-9413-fa9b684638f6		
3467fde8-a9bb-5b4c-a3ce-9f88dbb5ef8a		
39a6310a-4ea8-51c3-ba33-c37a96798b32		
9c30e370-0cd4-5f03-8218-3e3de9d32071		
d1a2d796-4909-55c0-9590-9f6120fd4f5b		
afbc8d18-c559-5813-b45a-7d98515f0861		
4f6b5732-1880-5ef0-aec3-e5ec50b6a2a8		
fe1f76d3-8e5f-534e-a090-8e79bf88d1e4		
456c98f8-5bae-5296-a990-1d840e152fd6		
aa62ea1c-8c18-541e-b249-68b87e847cd0		
f629d323-c0e3-57eb-90a2-02a4e0745ed4		
4192b51c-fb8d-5ae9-a217-17c29f7db33d		
609b97c6-c55a-5f04-b154-c365668b509e		
40f48e9b-8791-5c5d-88b4-be914aec4141		
d120ceb3-bce5-514a-b262-79966437931c		
76adc9c8-5e14-50bb-9c34-16feb66a00f3		
5ec2e06a-efa8-57e9-bafb-a1ed957c1dd7		
57fb38d3-3a1b-5fbf-8426-8bf4db357b7b		
f274be26-7346-51f0-a40a-9aef27be57b3		
9b511a7f-088c-5480-ab84-8ebd031b86c5		
d8f66c24-19ef-5de4-b35c-3e035bc439d7		
f279de50-268d-5298-a132-4bec48023d0e		
36f2137a-f900-5ca3-82f7-c5f92f472f6c		
d7f788f1-680f-54af-8a87-0e1e62920906		
bb5ad990-20ff-5dd7-a288-676773300a83		
62c7e5c4-a416-5c07-bb66-510af827de87		
47a904e6-ff6e-59de-bcc2-5810077973a0		
84c86f81-2137-564a-bc7a-b4f8d4f62fb8		
554c43ed-5628-504b-9d63-934444432d49		
cc632657-386a-5414-a964-cb1d51357e71		
724151b6-c750-5d8c-92d3-9e5e35913397		
fe29d62d-3ed9-519e-9942-12f1ce3b8b6d		
cf48401a-1f1b-56f5-b22b-40f5ee2b96dc		
b17d1b49-fb6a-54ed-a8b4-ee4a9bce4cd8		
08800a99-c6ff-5e79-9cd3-21970b1fa06a		
a2937318-7d3d-5ba2-8d11-e48490ef54af		
9e30de7a-f2ae-5f52-b71b-c5b893d4fb51		
f27098b0-b61c-54dd-864d-76e5b246c63f		
686b1d98-3e6f-5853-850b-4cdcaad1798a		
57df40c9-68c1-5eaa-ad8b-8ec9c8ba565e		
90319c08-1ba4-5b26-a6d1-a5073ba77100		
fc526bba-af5b-5f1b-9eb0-3126924df0bd		
9f867bfd-e788-5b0b-a7fd-74e26d39f5c2		
ec707f41-e78a-5808-a990-758dbbbc8b2b		
b265755a-3a3f-5b41-abb4-b2a717971ded		
7ab24a6e-9d77-5229-ba62-0d2374b75244		
733afd36-45b0-57cf-aa6d-3148e5b336c6		
28c3f7ab-c64e-50ce-8d96-3381e4f2bf71		
e23c2d90-6dd4-5c87-ba24-dcd1ac032db7		
485315b2-d448-5bf3-8e63-8a50c2b9e924		
3a664366-0b00-52f7-8db9-9a836357906c		
6173ad4d-2cd0-5e9b-912c-e2a1fc8faad0		
150df95f-a467-59a7-a3c5-924743a9fa15		
82603896-6488-5209-b9a9-162dd39c4ccb		
b0becc5d-c3bd-53e1-8611-056a1e94c538		
